gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000008311,265.22,41.6,43.96,40.82,32.53,23.88,18.54,36.31,30.59
ENSG00000008323,11.41,10.6,6.88,2.64,3.92,1.28,1.49,0.0,0.06
ENSG00000008324,79.58,41.83,28.93,25.09,12.28,16.84,18.39,13.01,11.43
ENSG00000008382,11.55,24.78,26.17,16.23,17.8,19.25,13.25,14.42,9.25
ENSG00000008394,600.15,287.48,200.26,134.75,102.73,72.67,172.04,30.7,19.53
ENSG00000008405,20.48,16.15,15.98,24.55,14.71,15.54,19.88,18.42,14.82
ENSG00000008438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008441,0.06,0.13,0.13,0.07,0.7,2.0,3.19,36.72,77.68
ENSG00000008513,6.5,9.45,60.25,95.7,141.15,76.17,67.14,78.39,94.07
ENSG00000008516,13.35,15.49,1.47,0.12,0.1,0.0,0.04,0.1,0.11
ENSG00000008517,5.13,1.56,0.43,11.11,7.02,23.01,24.3,16.59,15.67
ENSG00000008710,12.65,21.34,22.82,28.29,32.74,31.66,24.62,55.65,56.28
ENSG00000008735,5.38,9.54,2.58,4.68,9.25,3.0,2.03,0.9,1.34
ENSG00000008838,69.74,69.04,81.94,85.93,62.85,64.44,63.73,65.45,66.73
ENSG00000008853,8.29,13.68,12.14,21.95,27.72,28.49,16.95,47.73,44.2
ENSG00000008869,8.88,9.47,7.32,11.52,9.63,12.05,9.85,10.32,9.64
ENSG00000008952,115.36,97.35,85.79,129.5,103.59,95.73,103.91,86.91,107.97
ENSG00000008988,2045.8,2293.3,2357.9,1549.5,1562.2,1384.49,1185.81,1401.83,1184.14
ENSG00000009307,679.83,564.35,549.54,584.12,501.31,459.71,462.54,428.94,424.16
ENSG00000009335,45.04,39.58,32.75,41.11,36.69,30.98,47.51,40.26,34.74
ENSG00000009413,2.72,6.63,4.92,9.95,10.73,11.81,11.98,12.94,15.02
ENSG00000009694,0.63,1.52,0.1,0.08,0.12,0.13,0.03,0.39,0.72
ENSG00000009709,0.0,0.67,0.23,0.08,0.0,0.0,0.0,0.0,0.0
ENSG00000009724,0.28,0.13,0.0,0.1,0.35,0.5,0.03,0.0,0.0
ENSG00000009765,0.0,0.0,0.0,0.02,0.38,0.24,0.14,0.0,0.0
ENSG00000009780,9.16,9.42,8.64,6.69,6.59,5.4,8.41,9.25,8.12
ENSG00000009790,0.0,0.0,0.0,0.76,0.33,0.43,0.09,0.43,0.15
ENSG00000009830,26.18,25.0,31.65,29.72,28.89,27.5,32.52,23.97,20.4
ENSG00000009844,75.57,66.91,48.86,66.93,45.35,54.43,69.2,45.35,41.98
ENSG00000009950,4.31,2.74,7.56,1.5,0.97,1.47,0.03,0.0,0.12
ENSG00000009954,66.9,58.97,47.0,60.37,42.23,40.06,56.23,43.03,42.07
ENSG00000010017,30.25,33.91,35.41,56.25,44.93,46.18,51.23,46.36,39.87
ENSG00000010030,0.2,0.44,0.0,0.0,0.0,0.14,0.22,0.15,0.35
ENSG00000010072,9.35,11.65,14.65,13.59,10.81,12.54,12.25,9.81,11.2
ENSG00000010165,56.06,33.98,30.91,31.78,19.88,19.86,24.41,17.11,19.94
ENSG00000010219,9.62,3.85,18.51,28.36,40.76,49.7,36.56,47.99,35.32
ENSG00000010244,292.8,196.56,174.02,212.68,118.75,123.69,126.72,97.4,82.19
ENSG00000010256,181.88,191.62,149.62,172.7,159.79,201.05,290.72,166.78,169.42
ENSG00000010270,45.27,49.89,46.38,91.6,68.84,62.28,90.02,44.29,31.51
ENSG00000010278,149.04,121.51,37.39,17.07,78.07,22.03,23.04,8.84,10.52
