gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000010379,0.18,0.24,0.53,0.58,4.4,5.23,3.87,1.85,1.23
ENSG00000010404,13.32,23.93,39.34,40.51,35.88,24.46,44.02,27.33,32.82
ENSG00000010438,1.81,0.24,0.0,0.0,0.0,0.11,0.0,0.27,0.0
ENSG00000010539,7.83,11.57,9.32,7.99,5.76,6.94,7.88,4.66,5.6
ENSG00000010610,2.65,0.71,2.99,4.4,4.62,7.32,3.43,2.95,5.85
ENSG00000010626,2.56,3.25,4.47,10.02,12.29,11.94,8.16,11.51,8.75
ENSG00000010671,0.54,0.62,1.38,0.6,0.22,0.48,0.35,0.0,0.13
ENSG00000010704,1.84,0.19,1.47,0.74,1.22,5.64,6.25,4.15,8.84
ENSG00000010803,13.58,19.59,63.3,58.7,54.5,46.17,59.59,45.19,36.24
ENSG00000010810,58.21,59.21,92.81,112.05,55.8,54.06,48.05,47.31,55.67
ENSG00000010818,2.44,1.22,2.06,3.38,5.21,4.89,6.89,9.37,7.49
ENSG00000010932,0.0,0.0,0.3,0.54,21.5,34.53,4.29,2.68,8.63
ENSG00000011007,49.5,56.96,37.09,33.78,69.04,28.74,40.7,31.61,31.69
ENSG00000011009,111.9,97.94,77.69,55.53,38.88,55.7,66.67,36.97,33.1
ENSG00000011021,14.32,11.32,19.27,25.61,40.35,17.0,17.47,13.73,14.85
ENSG00000011028,10.55,50.3,178.84,224.74,261.77,96.66,99.59,61.44,146.02
ENSG00000011052,3.78,16.02,11.31,15.95,17.21,14.85,10.46,4.19,1.47
ENSG00000011083,0.0,0.03,0.0,0.04,0.0,0.06,0.0,0.0,0.0
ENSG00000011105,16.21,16.79,17.26,31.33,57.22,82.0,83.99,96.88,90.67
ENSG00000011114,21.69,16.59,31.01,29.72,19.2,22.09,30.35,19.72,18.63
ENSG00000011132,12.27,12.14,13.85,20.89,17.47,8.33,11.35,8.56,9.32
ENSG00000011143,11.04,16.41,30.4,30.5,17.14,20.1,17.47,8.41,12.22
ENSG00000011198,11.62,12.26,10.37,11.57,10.65,8.47,11.57,14.18,16.35
ENSG00000011201,26.16,23.46,5.9,4.45,4.99,5.77,8.72,21.95,27.41
ENSG00000011243,83.48,70.35,136.55,170.68,158.05,93.49,75.24,67.11,57.28
ENSG00000011258,29.65,17.93,25.51,26.77,10.53,16.86,13.75,11.22,9.78
ENSG00000011260,79.85,71.88,46.67,37.85,27.25,14.4,16.94,10.16,11.33
ENSG00000011275,15.0,17.34,23.3,27.79,24.06,20.23,24.15,24.11,23.6
ENSG00000011295,34.63,30.79,28.27,24.59,13.18,26.18,21.18,20.14,18.62
ENSG00000011304,432.5,491.75,402.68,389.13,372.13,168.96,191.72,69.99,85.66
ENSG00000011332,4.45,6.01,5.61,3.88,3.67,4.22,4.84,1.65,3.22
ENSG00000011347,5.12,2.63,4.5,10.1,16.85,11.38,1.91,1.69,0.93
ENSG00000011376,42.71,31.01,26.43,21.3,11.04,25.02,31.69,18.59,16.95
ENSG00000011405,63.08,37.69,37.14,37.72,28.19,26.86,31.53,21.65,24.72
ENSG00000011422,10.19,6.37,5.08,6.91,14.6,9.63,23.65,11.53,16.25
ENSG00000011426,62.58,66.92,61.49,61.58,49.33,70.29,70.56,35.62,38.87
ENSG00000011451,17.52,27.73,35.17,32.55,27.1,29.77,29.14,24.03,27.58
ENSG00000011454,22.55,20.92,32.86,39.25,39.34,43.09,43.85,44.33,36.52
ENSG00000011465,1.86,1.45,5.54,172.57,1050.58,670.89,767.33,1196.62,3064.7
ENSG00000011478,10.57,19.07,9.69,13.39,12.29,8.89,7.55,4.06,4.95
ENSG00000011485,95.44,114.14,88.44,80.43,45.58,71.59,78.19,68.47,56.75
ENSG00000011523,7.98,10.49,9.82,12.52,6.6,7.16,6.72,9.23,8.08
ENSG00000011566,36.86,14.97,25.49,38.29,32.35,36.49,40.58,25.62,27.94
ENSG00000011590,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
