gene_id,d0,d2,d4,d10,d15,d20,d40,d60
ENSG00000010322,15.0,45.16,72.19,60.21,78.51,63.72,66.93,62.31
ENSG00000010327,0.39,0.11,0.34,1.15,3.48,0.87,0.88,2.76
ENSG00000010361,10.71,20.76,17.06,17.47,23.56,13.43,15.29,23.51
ENSG00000010379,0.0,0.13,1.24,1.94,4.78,1.32,0.56,1.31
ENSG00000010404,10.86,25.03,30.22,23.16,26.3,32.18,33.42,35.32
ENSG00000010438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010539,4.85,8.99,10.46,7.54,6.86,8.16,7.26,8.34
ENSG00000010610,1.0,0.47,2.56,4.65,16.69,5.28,2.04,1.85
ENSG00000010626,1.09,1.95,6.4,17.16,13.56,8.1,18.48,18.88
ENSG00000010671,0.37,0.51,0.58,0.75,0.57,0.55,1.01,0.45
ENSG00000010704,0.35,0.45,0.77,1.46,4.78,2.44,2.76,2.9
ENSG00000010803,12.59,12.77,37.44,102.42,51.06,82.48,47.48,54.01
ENSG00000010810,67.9,67.74,67.95,54.0,64.6,64.03,63.91,91.73
ENSG00000010818,2.35,1.51,4.45,7.73,5.97,12.33,16.31,13.26
ENSG00000010932,0.0,0.11,0.06,0.43,11.25,0.33,0.0,0.21
ENSG00000011007,26.07,52.04,45.81,24.12,25.36,33.66,30.75,30.38
ENSG00000011009,42.03,98.62,90.54,52.55,46.98,47.78,38.62,39.08
ENSG00000011021,7.85,8.98,14.53,16.79,16.86,32.94,15.16,16.72
ENSG00000011028,4.33,32.35,101.27,37.77,107.66,130.05,94.43,88.08
ENSG00000011052,0.96,4.07,5.37,29.98,8.77,11.76,2.88,6.68
ENSG00000011083,0.0,0.02,0.0,0.03,0.03,0.03,0.03,0.0
ENSG00000011105,5.72,33.49,24.31,192.94,115.07,140.03,312.75,200.23
ENSG00000011114,13.09,18.66,32.27,16.48,19.04,27.78,18.41,28.51
ENSG00000011132,2.39,10.98,14.99,11.18,9.85,10.28,6.62,9.15
ENSG00000011143,5.21,17.87,21.97,23.96,20.95,9.65,12.65,13.4
ENSG00000011198,9.17,18.21,14.52,6.87,10.55,10.97,8.29,18.4
ENSG00000011201,98.5,96.77,41.29,7.84,14.34,66.64,26.56,32.43
ENSG00000011243,85.57,52.41,85.73,103.38,109.72,69.56,119.78,84.18
ENSG00000011258,32.0,35.64,39.81,21.2,16.95,10.81,12.57,16.06
ENSG00000011260,63.99,86.08,78.15,22.58,21.49,11.24,11.92,12.55
ENSG00000011275,14.14,23.26,23.05,24.42,22.69,29.11,27.32,34.0
ENSG00000011295,29.92,45.6,38.34,38.06,28.41,26.12,24.3,23.46
ENSG00000011304,299.83,571.17,469.56,101.67,178.66,116.05,80.37,84.57
ENSG00000011332,4.77,8.8,9.65,5.24,5.12,3.68,2.51,3.18
ENSG00000011347,4.13,4.71,3.67,28.77,10.6,4.97,5.07,1.92
ENSG00000011376,26.67,31.39,30.06,34.14,19.21,20.75,13.27,20.79
ENSG00000011405,61.73,48.01,67.84,25.95,25.19,22.77,23.55,28.46
ENSG00000011422,16.81,10.79,13.62,1.34,9.86,17.89,6.29,7.81
ENSG00000011426,152.91,90.15,91.04,15.8,36.2,70.83,38.56,39.89
ENSG00000011451,8.83,31.81,27.6,34.77,31.45,28.53,35.09,34.2
ENSG00000011454,17.32,19.12,26.89,27.71,34.76,39.54,36.15,43.49
ENSG00000011465,1.42,1.57,0.9,2.52,443.39,292.79,560.22,726.49
ENSG00000011478,3.64,7.57,6.2,8.78,7.82,5.89,5.07,5.03
ENSG00000011485,68.06,114.52,105.31,75.84,59.18,77.43,59.81,75.17
ENSG00000011523,6.02,12.19,15.58,10.88,10.6,9.45,12.04,16.03
ENSG00000011566,32.61,28.11,28.47,20.36,31.61,27.42,31.37,23.56
ENSG00000011590,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011600,0.0,0.0,0.72,0.29,0.67,0.17,0.0,0.0
ENSG00000011638,4.79,10.24,13.08,19.11,20.12,22.84,77.2,100.19
ENSG00000011677,3.51,2.14,1.95,0.0,0.06,0.04,0.0,0.0
ENSG00000012048,28.95,31.35,35.74,2.97,7.59,6.79,3.89,11.57
ENSG00000012061,21.85,38.24,58.96,115.3,87.85,77.25,77.41,85.57
ENSG00000012124,0.04,0.12,0.0,0.02,3.69,1.52,0.78,0.0
ENSG00000012171,0.81,1.84,4.57,10.18,21.75,13.24,19.87,21.31
ENSG00000012174,4.69,6.46,10.32,12.04,13.63,14.02,12.42,11.44
ENSG00000012211,3.48,5.76,4.63,9.22,5.51,5.77,5.81,4.23
ENSG00000012223,0.0,0.12,0.02,0.34,0.0,0.0,0.0,0.0
