gene_id,heart18_0,heart18_2,heart18_4,heart18_6,heart18_10,heart18_15,heart18_20,heart18_40,heart18_60
ENSG00000018189,563,549,1272,876,647,690,733,668,549
ENSG00000018236,621,74,73,72,56,63,142,118,108
ENSG00000018280,1,1,5,7,4,8,1,2,5
ENSG00000018408,737,662,813,1722,2016,3089,3406,3815,3792
ENSG00000018510,3345,2266,1974,2482,1820,2055,2763,1757,1378
ENSG00000018607,0,1,6,0,4,1,0,0,0
ENSG00000018610,780.99,516.98,545,528,400.96,448.99,452,441.93,458
ENSG00000018625,1327.81,403.98,338.84,242.8,1181.96,1301,66,70,69
ENSG00000018699,1207,759,772,586,553,616,766,774,695
ENSG00000018869,83,78,151,102,99,87,66,74,83
ENSG00000019102,4,13,26,8,1,4,1,0,0
ENSG00000019144,1640,895,1557,2636,3095,4357,3522,4326,3417
ENSG00000019169,0,0,0,0,0,0,0,0,0
ENSG00000019186,7,28,0,0,0,0,4,0,0
ENSG00000019485,504,355,424,871,1390,1600,1043,2536,2290
ENSG00000019505,590,166,146,42,54,331,598,977,648
ENSG00000019549,39,297,832,1772,2090,1790,1061,1838,1993
ENSG00000019582,529,395,548,453,700,433,181,76,132
ENSG00000019991,3,4,38,15,995,4345,252,874,512
ENSG00000019995,1273.12,1110.9,1218.82,1675.37,1511.49,1940.63,1493.21,1751.74,1742.93
ENSG00000020129,1257,1150,655,730,704,864,1000,1074,1167
ENSG00000020181,48,112,2371,4812,6609,7963,3899,7634,5331
ENSG00000020219,0,0,0,0,0,0,0,0,0
ENSG00000020256,628,775,650,467,381,413,386,428,447
ENSG00000020426,751,399,511,557,415,406,540,339.75,331
ENSG00000020577,407,434,372,2464,1848,2080,2527,3497,2255
ENSG00000020633,6,21,6,1,0,0,5,3,10
ENSG00000020922,1154,1293,1220,1118,541,624,680,443,414
ENSG00000021300,293,679,848,317,277,307,113,254,220
ENSG00000021355,353,871,601,580,914,989,687,395,375
ENSG00000021461,1,0,1,0,2,0,1,0,0
ENSG00000021488,0,2,3,6,13,18,3,7,4
ENSG00000021574,1445,889,905,917,751,802,797,515,493
ENSG00000021645,26,190,204,43,9,12,46,52,37
ENSG00000021762,117,209,503,435,526,577,309,489,456
ENSG00000021776,4463,3019,2445,2701,1740,1734,1901,1532,1345
ENSG00000021826,545,871,1859,1854,1629,1376,681,648,401
ENSG00000021852,0,0,0,0,7,9,0,0,1
ENSG00000022267,1103,434,286,630,838,1819,2376,7755,7605
ENSG00000022277,1080,1291,1450.64,1593,1427.86,1791,1762,1628,1472.61
ENSG00000022355,47,11,2,0,2,6,2,13,4
ENSG00000022556,64.59,18,6.17,1,2,0,1,0,2
ENSG00000022567,652,358,430,325,366,354,300,370,257
ENSG00000022840,4343,4217,4356,4243,3941,5717,6298,5263,3440
ENSG00000022976,157,220,502,298,241,313,236,224,188
ENSG00000023041,1039,745,719,947,642,660,891,493,416
ENSG00000023171,658,533,434,257,342,323,167,293,231
ENSG00000023191,570,568,640,703,1130,1297,1590,1665,1753
ENSG00000023228,4083,3495.33,2846.22,3975.71,3798.4,4717.68,7602.73,3864.38,4088.92
ENSG00000023287,2872,1832,1826,2655,1661,2265,2231,2116,2078
ENSG00000023318,1090,1277,1446,1680,1394,1626,1565,1224,1333
ENSG00000023330,976,736,803,798,1052,1328,1507,1056,1048
ENSG00000023445,12,4,0,6,16,16.01,34.04,24,28
